Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
,$60K - $80K (Employer est.),,3.5,,,-1,-1,-1,-1,-1,-1
Associate Software Engineer (USA Remote),$60K - $80K (Employer est.),"Company Description

100% REMOTE (Must be U.S. based)
When you join Turnitin, you'll be welcomed into a company that is a recognized innovator in the global education space. For more than 20 years, Turnitin has partnered with educational institutions to promote honesty, consistency, and fairness across all subject areas and assessment types. Over 16,000 academic institutions, publishers, and corporations use our services: Gradescope by Turnitin, iThenticate, Turnitin Feedback Studio, Turnitin Originality, Turnitin Similarity, ExamSoft, and ProctorExam.
Turnitin has offices in Australia, India, Indonesia, Japan, Korea, Mexico, the Netherlands, the Philippines, Ukraine, the United Kingdom, and the United States. Our diverse community of colleagues are all unified by a shared desire to make a difference in education. Come join us, and let's make change together.",4.1,"Turnitin, LLC
4.1","Austin, TX",501 to 1000 Employees,1998,Company - Private,Primary & Secondary Schools,Education,Unknown / Non-Applicable
Junior Software Engineer,$60K - $80K (Employer est.),"Job Summary
As a Software Engineer I, you are part of an agile team that works to enhance, design, and deliver the software components to the firm's state-of-the-art technology products in a secure, stable, and scalable way. As an entry-level member of a software engineering team, you execute basic software solutions through the design, development, and troubleshooting of a single technical area within a business function, while gaining skills and experience to grow within your role.
Job Responsibilities
Executes basic software solutions, design, development, and technical troubleshooting",4.3,"KGS Technology Group Inc
4.3",Remote,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Full stack Software Engineer,$60K - $80K (Employer est.),"If you make hearts beat faster, your own has to be in the right place.
Full stack Software Engineer
Code number: J000005884
Entry level: Professionals
Location: Palo Alto
Organization: Porsche Digital Inc.
Tasks
TasksTasks",4.3,"Porsche Digital Inc.
4.3","Palo Alto, CA",201 to 500 Employees,-1,Subsidiary or Business Segment,Vehicle Dealers,Retail & Wholesale,$100 to $500 million (USD)
"Software Engineer, Robotics (All levels)",$60K - $80K (Employer est.),"Company Description:
We are creating the future of brain-computer interfaces: building devices now that have the potential to help people with paralysis regain mobility and independence and invent new technologies that could expand our abilities, our community, and our world.
Team Description:
Our robotics integrate actuated devices with microelectromechanical systems as well as novel surgical procedures. These applications place strong emphasis on high-precision, high-repeatability mechanical motion, as well as high reliability and fail-safe design. You will be responsible for writing software and making sure your code works on an actual surgical robot, not just simulation.",4.1,"Neuralink
4.1","Austin, TX",201 to 500 Employees,2016,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Software Engineer (L4) - TV User Interface,$60K - $80K (Employer est.),"Remote, United States
Client and UI Engineering
Our cross-platform team delivers novel product features on Netflix, including the flagship TV application. Our work helps members discover and connect with stories they'll love. Your work will delight millions of customers worldwide on hundreds of different TV devices, from game consoles to smart TVs to cable boxes.

Our responsibilities include working on large-scale A/B tests of features - ranging from highly visible product experiences to core infrastructure that enables existing and future innovations. We care deeply about UI performance, quality, and accessibility of the Netflix TV experience. To bring new kinds of engaging and cinematic experiences to life, we partner closely with many cross-functional teams including product management, experience design, and creative production.",4.3,"Netflix
4.3",Remote,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
Backend Software Engineer,$60K - $80K (Employer est.),"Who We Are
Hungryroot is the all-in-one recipe and grocery service. We're here to help people feel their best and make grocery shopping, cooking, and enjoying healthy food easier than ever. So, we're creating the first-of-its-kind food experience that puts people (and the planet) first, built for busy lives and individual needs.
We are a distributed team built on top talent from across the U.S. While we have an office in NYC, we support employees creating ""offices"" wherever they are. We believe in fostering team connection and collaboration across all of our ""offices"" - so don't expect to be online at 6 am to make a meeting if you're on the West coast. Expect to attend regular team building events, and to be able to work from the beach every once in a while. Expect to be treated like an owner who cares about our common goal, not someone who has to clock in and out of work.",4.1,"Hungryroot
4.1","New York, NY",51 to 200 Employees,2015,Company - Private,Grocery Stores,Retail & Wholesale,$100 to $500 million (USD)
"Software Engineer (HTML, CSS, JS, Python, Django)",$60K - $80K (Employer est.),"Software Engineer (HTML, CSS, JS, Python, Django)
Full-time – Remote
We’re looking to hire a dog-loving web engineer to join our existing development team. This engineer will report to the CTO and will play a key software development role.
The primary skills needed are expertise in HTML, CSS, and vanilla Javascript. Our toolset uses LESS, BEM-style selectors, and Google's AMP HTML framework.
The ideal candidate has a strong sense of UI aesthetic, and is excited about working on a single web property, focusing on one UI element at a time. They will be responsible for front-end feature quality, accessibility, HTML semantics, automated tests, reliability, clean code, architecture, and reusable patterns. Javascript expertise is a must, although we seek to minimize JS usage in general.",-1,BringFido,Remote,-1,-1,-1,-1,-1,-1
"Senior Software Engineer, Backend - Distributed Fintech",$60K - $80K (Employer est.),"Hopper offers a remote work policy that empowers employees to work from anywhere. Employees have the opportunity to work in an office environment or they can receive a work-from-home stipend if they prefer to work from home.

THE ROLE
Hopper Cloud’s Distributed Fintech team is a fast-growing team responsible for integrating our proprietary fintech offerings with some of the largest travel companies in the world. Within this vertical we construct systems and build fintech offerings to scale globally, managing how to evolve and innovate on current and new offerings, and translating that to customer value and business value to Hopper as a whole.

We're looking for a Senior Backend Developer to join our growing Distributed Fintech team! Within our team you will have the opportunity to deliver an outsized impact on the company on one of the company’s most critical roadmaps. As a Sr. Software Engineer you will be directly responsible for designing, implementing, deploying and operating the complex backend systems that power our integrations!",3.5,"Hopper
3.5",United States,1001 to 5000 Employees,2007,Company - Private,Travel Agencies,Hotels & Travel Accommodation,Unknown / Non-Applicable
Software Engineer Backend (m/f/d) - Remote,$60K - $80K (Employer est.),"Airy is an open-source stream processing platform for conversational data based on Apache Kafka to process and react to millions of messages in realtime. We power the future of Conversational AI by providing clean contextual information and bringing in humans whenever it's necessary to deliver great customer experiences.
At Airy, we're dedicated to powering a world of seamless, personal, and trusted interactions between customers and businesses. We focus on emerging consumer technologies such as messaging and voice and are working with some of the world's leading brands across a wide spectrum of industries and business sizes.
What you will do:
As a Backend Software Engineer at Airy, you will be responsible for helping develop and maintain our scalable open-source conversational platform (https://docs.airy.co) as well as our cloud offering. This means creativity and collaboration as part of a cross-functional team, crafting high-quality and reusable solutions while writing documentation in the open.",4.0,"Airy
4.0",Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Junior Software Engineer - TikTok Search Engine,$60K - $80K (Employer est.),"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

About the Team
Our Search Team is responsible for building and owning TikTok's search engine, which provides our users the best search experience.

On the TikTok Search Team, you’ll have the opportunity to build a full-stack search engine system and combine information retrieval technology with modern machine learning methods from related fields such as NLP, CV, and recommender system. We embrace a culture of self-direction, intellectual curiosity, openness, and problem-solving.

Responsibilities
Qualifications
Preferred Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at rd.accommodations@bytedance.com
Job Information
The base salary range for this position in the selected city is $112200 - $147000 annually.



Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.



At ByteDance/TikTok our benefits are designed to convey company culture and values, to create an efficient and inspiring work environment, and to support ByteDancers to give their best in both work and life. We offer the following benefits to eligible employees:



We cover 100% premium coverage for employee medical insurance, approximately 75% premium coverage for dependents and offer a Health Savings Account(HSA) with a company match. As well as Dental, Vision, Short/Long term Disability, Basic Life, Voluntary Life and AD&D insurance plans. In addition to Flexible Spending Account(FSA) Options like Health Care, Limited Purpose and Dependent Care.



10 paid holidays per year plus 17 days of Paid Personal Time Off(PPTO) (prorated upon hire and increased by tenure) and 10 paid sick days per year as well as 12 weeks of paid Parental leave and 8 weeks of paid Supplemental Disability.



We also provide generous benefits like mental and emotional health benefits through our EAP and Lyra. A 401K company match, gym and cellphone service reimbursements. The Company reserves the right to modify or change these benefits programs at any time, with or without notice.",3.5,"TikTok
3.5","San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Software Engineer,$60K - $80K (Employer est.),"Job Description:
At Warner Music Group, we’re a global collective of music makers and music lovers, tech innovators and inspired entrepreneurs, game-changing creatives, and passionate team members. Here, we know that each talent makes our collective bolder and brighter.
We remain committed to Diversity, Equity, and Inclusion. We know it fosters a culture where you can truly belong, contribute, and grow. We encourage applications from people of any age, gender identity, sexual orientation, race, religion, ethnicity, disability, veteran status, and any other characteristic or identity.
Technology is one of the most important parts of our business. Whether it’s signing up new artists; ensuring we provide the right data to Spotify, YouTube, and other digital service providers; or helping artists use the latest AI tools and make thoughtful decisions with data-driven insights – technology plays an invaluable role in our success. The engineering team at Warner Music Group makes all of it a reality.
We are actively hiring for multiple engineering positions which include:






$100,000 to $202,500 Annually",3.7,"Warner Music Group
3.7","New York, NY",1001 to 5000 Employees,2003,Company - Public,Broadcast Media,Media & Communication,$1 to $5 billion (USD)
Software Engineer,$60K - $80K (Employer est.),"Benefits
What we offer in return
Company Mac + External Monitor
Competitive Salary
40-hour Workweeks
European Vacations Policy
Remote Work
Whatever Software you need
Flexible Work Hours
International Culture
Private Medical Insurance",4.2,"Jumpseller
4.2",Remote,1 to 50 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD)
Software Engineer I,$60K - $80K (Employer est.),"Come join a winning team! Here at Imprivata, you’ll see a dedicated group of professionals who care about improving healthcare. Our team thrives on collaboration and sharing ideas, whether in a cross-functional meeting or at one of our virtual team-building events.
While we're diverse in our backgrounds and skills, we have much in common. A passion for our mission. A strong sense of integrity. A belief that we're making a positive impact and a commitment to having fun.
We are seeking a Software Engineer I to join our team for this hybrid opportunity working out of our Waltham, MA; Austin, TX; or St. Petersburg, FL offices.

Job Summary

As part of the product development team you will work fixing issues and implementing features in the product or any part of its ecosystem, with particular attention to performance, security and quality in order to increase customer satisfaction. It is expected that you understand our development process and the standards used by the team and follow them effectively and seamlessly with the rest of the team. We also expect you to contribute documenting and specifying the process iteratively so we can always keep it up to date. You will be working with the product fixing issues, implementing features and/or standalone projects with a focus on gaining deeper understanding of the product and the technology stack. As a member of the development team you are responsible for the quality of the product and you will make a conscious effort to improve it whenever possible. You are expected to write unit, integration and end-to-end tests, gather feedback through demos and code reviews and own parts of the product as you work in them.",3.7,"Imprivata
3.7","Austin, TX",501 to 1000 Employees,2002,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
Entry-Level Software Engineer (Developer),$60K - $80K (Employer est.),"Title:
Entry-Level Software Engineer (Developer)
An excellent opportunity to serve as a Software developer in the Common Services team at the National Aeronautics and Space Administration (NASA) Johnson Space Center (JSC). The position supports the development and maintenance of the Mission Control Center (MCC) Trajectory Subsystem (MTS) software. MTS includes a suite of applications that calculate trajectories which span several days or weeks with sufficient level of precision to achieve program goals, such as landing on the Moon. The Common Services team also provides the MCC middleware/core common capabilities to the Control Center Subsystems and User Applications.
Responsibilities:",4.0,"KBR
4.0","Houston, TX",10000+ Employees,1901,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD)
Senior Software Engineer (React/Node),$60K - $80K (Employer est.),"Articulate is looking for a Senior Software Engineer to join our amazing team.
As a Senior Software Engineer at Articulate, you'll work closely with a talented team of engineers and designers to build industry-leading products and solve interesting, complex problems. You'll be responsible for large tasks and you'll collaborate with teammates to develop the right solutions.
What you'll do:
Build new features and enhance existing ones with an eye for quality
Focus on customers and iterate quickly to bring them value
Collaborate closely with engineers, designers and product leaders",4.3,"Articulate
4.3",Remote,201 to 500 Employees,2002,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD)
Software Engineer Coop,$60K - $80K (Employer est.),"Position: Software Engineer Coop
Duration: 3 months+
Date: Sept 5 to Dec 22, 2023
Location: Onsite

Come create the technology that helps the world act together


We are a B2B technology innovation leader pioneering the future where networks meet the cloud. At Nokia, you will have a positive impact on people’s lives and help build the capabilities needed for a more productive, sustainable, and accessible world.",4.2,"NOKIA
4.2","Sunnyvale, CA",10000+ Employees,1865,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Software Engineer,$60K - $80K (Employer est.),"Job Description:
At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. Responsible Growth is how we run our company and how we deliver for our clients, teammates, communities and shareholders every day.

One of the keys to driving Responsible Growth is being a great place to work for our teammates around the world. We’re devoted to being a diverse and inclusive workplace for everyone. We hire individuals with a broad range of backgrounds and experiences and invest heavily in our teammates and their families by offering competitive benefits to support their physical, emotional, and financial well-being.

Bank of America believes both in the importance of working together and offering flexibility to our employees. We use a multi-faceted approach for flexibility, depending on the various roles in our organization.

Working at Bank of America will give you a great career with opportunities to learn, grow and make an impact, along with the power to make a difference. Join us!

Job Description:
This role is responsible for developing and delivering complex requirements to accomplish business goals. Key responsibilities of the role include ensuring that software is developed to meet functional/non-functional requirements, coding solutions and unit testing. These individuals are aware of the development practices in the industry.

Responsibilities:

Minimum Qualifications:
H6
1st shift (United States of America)
40
0",4.0,"Bank of America
4.0","New York, NY",10000+ Employees,1904,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
QA/Test Software Engineer,$60K - $80K (Employer est.),"Position Status: Full Time Exempt
Reports to: Director of Solutions
Location: Cincinnati, Ohio / REMOTE

Losant is a cloud-based Internet of Things platform that empowers global enterprises to build a connected world. We are looking for an engineer with a strong commitment to software quality and customer support to join our team.

RESPONSIBILITIES
Develop and maintain testing procedures for Losant Solutions project releases.
Perform testing/acceptance on all user stories in an Agile (Scrum) environment.
Identify, document, and prioritize defects and bugs.






Losant IoT is a venture-backed startup headquartered in Cincinnati, Ohio. Our clients and partners include major Fortune 100 companies across manufacturing, health care, and asset tracking. We offer competitive salaries and benefits, along with a casual office environment and fun but professional atmosphere.",3.7,"Losant
3.7",Remote,Unknown,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Software Engineer Full time - Puerto Rico,$60K - $80K (Employer est.),"Join a team recognized for leadership, innovation and diversity
The future is what you make it.
When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars. Working at Honeywell isn’t just about developing cool things. That’s why all our employees enjoy access to dynamic career opportunities across different fields and industries.
Are you ready to help us make the future?
Join a team that designs, develops and integrates highly complex software applications within Honeywell. You will be an active and integral member of a team to achieve the completion of goals. You will also generate innovative solutions in work situations; trying different and novel ways to deal with problems and opportunities.",4.0,"Honeywell
4.0",Puerto Rico,10000+ Employees,1885,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Full Stack Software Engineer,$60K - $80K (Employer est.),"About the team
The Zillow Group Engineering team is innovating on the next generation of real estate. We have the ability to transform the future of the industry with unmatched consumer reach to over 200 million users across our brands like Zillow, Trulia, and StreetEasy, and industry-leading platforms for employees and partner professionals who support our customers.
We believe that creativity, collaboration, and innovation lead to success.
We actively encourage our teams to learn about the business and share their ideas.
We value “culture add” and promote a diverse and inclusive workplace!
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In California, Colorado, Connecticut, Nevada, New York City and Washington the standard base pay range for this role is $128,600.00 - $205,400.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Nevada, New York City and Washington and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.",3.9,"Zillow
3.9",United States,5001 to 10000 Employees,2005,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
,$60K - $80K (Employer est.),,3.7,,,-1,-1,-1,-1,-1,-1
Software Engineer All Levels,$60K - $80K (Employer est.),"Squadra Technologies Services is seeking talented and highly motivated Software Engineers to support software development on large projects. Note- Position and compensation will be determined by experience. Great compensation will be offered for well-qualified applicants.
This position offers a growth opportunity to work with other highly energetic team members and management.
The ideal candidate will have software development experience in C# on an MS Windows 10 OS platform, .net, Java, React, TypeScript, JavaScript, Kubernetes, and the ability to quickly learn and adapt to new tools and development environments.
In addition, the candidate should have past experience performing functional analysis, detailed trade studies, requirements allocation, and interface definition studies to translate customer requirements into software specifications. Also, experience and familiarity with agile development and test processes is a plus.",-1,Squadra Technologies Services,Remote,-1,-1,-1,-1,-1,-1
Full Stack Software Engineer I,$60K - $80K (Employer est.),"Inclusively is partnering with a one of the top airlines in the world to hire a Full Stack Software Engineer I.
ABOUT INCLUSIVELY:
Inclusively is a digital tech platform that connects candidates with disabilities, who may benefit from workplace accommodations, to inclusive employers. This includes all disabilities under the ADA, including mental health conditions (e.g. anxiety, depression, PTSD), chronic illnesses (e.g. diabetes, Long COVID), and neurodivergence (e.g. autism, ADHD). Applicants with one or more of these conditions are encouraged to apply; Inclusively does not require applicants to disclose their specific disability.
Primary Functions:",5.0,"Inclusively
5.0","Atlanta, GA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Software Engineer,$60K - $80K (Employer est.),"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents while living and working as their authentic selves. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance through an inclusive environment both now and in the future.
Summary:
In this role, you will be responsible for building, testing, and maintaining our software, ensuring its scalability and reliability. You will help develop our SCORE software.
Responsibilities:
Design, develop, test, and maintain software solutions for our SCORE product.
Collaborate with cross-functional teams, including product managers, designers, and other engineers to define product requirements and design solutions.
$77,400.00 - $115,050.00",4.1,"Vizient, Inc.
4.1",Remote,1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
Software Engineer II,$60K - $80K (Employer est.),"Software Engineer II
Job ID
10049808
Location
New York, New York, United States / Town of Bristol, Connecticut, United States / Santa Monica, California, United States / San Francisco, California, United States / Seattle, Washington, United States / Orlando, Florida, United States
Business
Disney Media & Entertainment Distribution
Date posted
May 18, 2023
Job Summary:",3.9,"Disney
3.9","New York, NY",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
Junior Software Engineer (Remote),$60K - $80K (Employer est.),"We are seeking a Junior Software Engineer to work on ACMO's flagship product - Fetchie.

About Fetchie

Fetchie is a price tracking app that helps online shoppers track price changes on their favourite products and never miss out on a deal. The app (available for iOS and Android) automatically gathers pricing information for the products you choose from any website, while also finding price from other stores for you to compare and sends instant notifications when there is a price drop. Users can use Fetchie while shopping in-store to scan the product barcode to find a wide range of alternatives nearby, ensuring users get the best value for their money. Fetchie taps into the insights of like-minded shoppers, helping users discover the latest finds and recommendations from their local area. Fetchie is committed to providing an ad-free space and refrains from user data collection, allowing everyone to enjoy their shopping experience.",-1,ACMO,Remote,1 to 50 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Software Engineer I,$60K - $80K (Employer est.),"SUMMARY
We are seeking a talented and motivated Software Engineer I to join our development team. As a Software Engineer I, you will work under the guidance of senior engineers and contribute to the design, development, and maintenance of software applications. This is an entry-level position that offers an opportunity to gain hands-on experience and grow your technical skills in a collaborative and fast-paced environment.
ESSENTIAL FUNCTIONS
· Collaborate with senior engineers to understand project requirements and contribute to the design and architecture of software applications.
· Write clean, efficient, and maintainable code using established coding standards and best practices.",-1,AppTech Payments Corp.,Remote,-1,-1,-1,-1,-1,-1
Software Engineer I,$60K - $80K (Employer est.),"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 115,000 colleagues serve people in more than 160 countries.
A healthy heart is essential to good health. That's why we're committed to advancing treatments for people with cardiovascular disease. As a global leader in Cardiac Rhythm Technologies, our breakthrough medical technologies help restore people's health so they can get back to living their best lives, faster. We focus on innovative technologies that can improve the way doctors treat people with heart arrhythmias, or irregular heartbeats.
Our location in Sunnyvale, CA currently has an opportunity for a Software Engineer I.
Software Engineer I will plan and deliver custom in-house software and hardware tools developed for Implantable Device Firmware projects. Manage the delivery of tool projects that meet customers’ needs in terms of functionalities, performance, time, and cost; report progress on the project to upper management and customers.",3.8,"Abbott Laboratories
3.8","Sunnyvale, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Junior Software Engineer,$60K - $80K (Employer est.),"Job Summary
As a Software Engineer I, you are part of an agile team that works to enhance, design, and deliver the software components to the firm's state-of-the-art technology products in a secure, stable, and scalable way. As an entry-level member of a software engineering team, you execute basic software solutions through the design, development, and troubleshooting of a single technical area within a business function, while gaining skills and experience to grow within your role.
Job Responsibilities
Executes basic software solutions, design, development, and technical troubleshooting",4.3,"KGS Technology Group Inc
4.3",Remote,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
"Software Engineer (HTML, CSS, JS, Python, Django)",$60K - $80K (Employer est.),"Software Engineer (HTML, CSS, JS, Python, Django)
Full-time – Remote
We’re looking to hire a dog-loving web engineer to join our existing development team. This engineer will report to the CTO and will play a key software development role.
The primary skills needed are expertise in HTML, CSS, and vanilla Javascript. Our toolset uses LESS, BEM-style selectors, and Google's AMP HTML framework.
The ideal candidate has a strong sense of UI aesthetic, and is excited about working on a single web property, focusing on one UI element at a time. They will be responsible for front-end feature quality, accessibility, HTML semantics, automated tests, reliability, clean code, architecture, and reusable patterns. Javascript expertise is a must, although we seek to minimize JS usage in general.",-1,BringFido,Remote,-1,-1,-1,-1,-1,-1
Software Engineer,$60K - $80K (Employer est.),"Job Description

Designs, develops, validates, and debugs software to enable Intel hardware features and to optimize for cloud, hybridcloud, and/or onprem deployment models. Understands partner software stacks and optimizes full stack software (spanning firmware, drivers, OS, middleware, SDKs, frameworks, algorithms, and applications) as required to enable cloud software. May include the development of reference cloud platform software and improving or enabling customer designs to obtain the greatest value from Intel products within the cloud. May specialize in specific technology domains including data services (ingestion, database, analytics), AI/ML, and opensource development projects.
Behavioral traits:


You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job. This is an entry level position and will be compensated accordingly. Education Requirement Bachelor's degree OR a Master in Computer Science, Computer Engineering or any engineering related field. Minimum Qualifications 1+ year of experience with: Designing components for a software system, recognizing design patterns, and using object-oriented design principles. Software implementation with knowledge in Python, Java, and C++ languages and libraries. Testing techniques Preferred Qualifications Exposure to and appreciation for multiple computed science specialties. Experience in cloud software infrastructure is beneficial, such as Docker/Singularity containers, Kubernetes, and service architectures. Exposure to system simulation technologies is beneficial, such as Simics or SystemC. Experience in user interface design is beneficial. Apply Agile code development principles. Performance optimization. Both Linux and Windows operating systems. Modern software tools and methods. Both rapid prototyping and production-quality development.

Enable amazing computing experiences with Intel Software continues to shape the way people think about computing – across CPU, GPU, and FPGA architectures. Get your hands on new technology and collaborate with some of the smartest people in the business. Our developers and software engineers work in all software layers, across multiple operating systems and platforms to enable cutting-edge solutions. Ready to solve some of the most complex software challenges? Explore an impactful and innovative career in Software.

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

This role is available as a fully home-based and generally would require you to attend Intel sites only occasionally based on business need. This role may also be available as our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",4.2,"INTEL
4.2",Remote,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Software Engineer Backend (m/f/d) - Remote,$60K - $80K (Employer est.),"Airy is an open-source stream processing platform for conversational data based on Apache Kafka to process and react to millions of messages in realtime. We power the future of Conversational AI by providing clean contextual information and bringing in humans whenever it's necessary to deliver great customer experiences.
At Airy, we're dedicated to powering a world of seamless, personal, and trusted interactions between customers and businesses. We focus on emerging consumer technologies such as messaging and voice and are working with some of the world's leading brands across a wide spectrum of industries and business sizes.
What you will do:
As a Backend Software Engineer at Airy, you will be responsible for helping develop and maintain our scalable open-source conversational platform (https://docs.airy.co) as well as our cloud offering. This means creativity and collaboration as part of a cross-functional team, crafting high-quality and reusable solutions while writing documentation in the open.",4.0,"Airy
4.0",Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Entry Level Product Engineer,$60K - $80K (Employer est.),"Position Details
We’re building the world’s most advanced Environmental Health and Safety System. The Engineering Team is growing and seeking a Software Engineer who will work as a support analyst and have expertise in the areas of SaaS, Databases, User Interface (UI), Mobile Technologies and Authentication. Must have a technical understanding of software and is capable of taking a holistic view of complex systems. Must be able to collaborate with all of our engineering teams to quickly analyze and diagnose issues for product improvement.
Responsibilities
Develop product expertise in various Locus products and the Locus code stack
Track and manage customer reported issues via a case management system


0-2 Years
Bachelor's Degree in Math/Science/Engineering/Computer Science",3.5,"Locus Technologies
3.5","Mountain View, CA",51 to 200 Employees,1997,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD)
Software Engineer (L4) - TV User Interface,$60K - $80K (Employer est.),"Remote, United States
Client and UI Engineering
Our cross-platform team delivers novel product features on Netflix, including the flagship TV application. Our work helps members discover and connect with stories they'll love. Your work will delight millions of customers worldwide on hundreds of different TV devices, from game consoles to smart TVs to cable boxes.

Our responsibilities include working on large-scale A/B tests of features - ranging from highly visible product experiences to core infrastructure that enables existing and future innovations. We care deeply about UI performance, quality, and accessibility of the Netflix TV experience. To bring new kinds of engaging and cinematic experiences to life, we partner closely with many cross-functional teams including product management, experience design, and creative production.",4.3,"Netflix
4.3",Remote,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
